"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"12802b8d-a708-443d-a7f2-effebdb3ec18"	"2024-02-14T00:52:53+00:00"	"2.5"	"49052"	"41296"	"41728"	"15000"	"0.944"	"0.953"	"1.64"	"1.637"	"-5000"	"-5000"	"-39149"	"-38570"
"12802b8d-a708-443d-a7f2-effebdb3ec18"	"2024-02-14T00:52:53+00:00"	"50"	"49712"	"39952"	"41104"	"15000"	"0.904"	"0.927"	"1.635"	"1.632"	"-5000"	"-5000"	"-41327"	"-40026"
"12802b8d-a708-443d-a7f2-effebdb3ec18"	"2024-02-14T00:52:53+00:00"	"97.5"	"50372"	"38608"	"40480"	"15000"	"0.866"	"0.903"	"1.63"	"1.627"	"-5000"	"-5000"	"-43498"	"-41475"
"c8f82fad-c87c-464c-a420-6309677c7885"	"2024-02-14T00:52:53+00:00"	"2.5"	"48688"	"34392"	"32632"	"15000"	"0.809"	"0.773"	"1.64"	"1.637"	"-5000"	"-5000"	"-45456"	"-47070"
"c8f82fad-c87c-464c-a420-6309677c7885"	"2024-02-14T00:52:53+00:00"	"50"	"49248"	"33320"	"31912"	"15000"	"0.778"	"0.75"	"1.635"	"1.632"	"-5000"	"-5000"	"-47200"	"-48461"
"c8f82fad-c87c-464c-a420-6309677c7885"	"2024-02-14T00:52:53+00:00"	"97.5"	"49808"	"32248"	"31192"	"15000"	"0.748"	"0.727"	"1.63"	"1.627"	"-5000"	"-5000"	"-48939"	"-49846"
"e31400bf-8866-464b-9d8c-9f82e68a8a09"	"2024-02-14T00:52:53+00:00"	"2.5"	"51862"	"33664"	"31774"	"15000"	"0.746"	"0.709"	"1.64"	"1.637"	"-5000"	"-5000"	"-51390"	"-53124"
"e31400bf-8866-464b-9d8c-9f82e68a8a09"	"2024-02-14T00:52:53+00:00"	"50"	"52520"	"32760"	"31136"	"15000"	"0.719"	"0.688"	"1.635"	"1.632"	"-5000"	"-5000"	"-53110"	"-54577"
"e31400bf-8866-464b-9d8c-9f82e68a8a09"	"2024-02-14T00:52:53+00:00"	"97.5"	"53178"	"31856"	"30498"	"15000"	"0.693"	"0.668"	"1.63"	"1.627"	"-5000"	"-5000"	"-54824"	"-56023"
"4f77e648-ef47-4005-9827-50ea7ef4a732"	"2024-02-14T00:52:53+00:00"	"2.5"	"49920"	"34936"	"34832"	"15000"	"0.8"	"0.798"	"1.64"	"1.637"	"-5000"	"-5000"	"-46933"	"-46887"
