"id"	"date"	"quantile"	"beads_fsc_small"	"beads_D1"	"beads_D2"	"width"	"notch_small_D1"	"notch_small_D2"	"notch_large_D1"	"notch_large_D2"	"offset_small_D1"	"offset_small_D2"	"offset_large_D1"	"offset_large_D2"
"78a719a0-972e-4ee6-b6fc-3f4fe4e15e2e"	"2024-01-31T23:12:26+00:00"	"2.5"	"54160"	"45312"	"40532"	"15000"	"0.929"	"0.841"	"1.64"	"1.637"	"-5000"	"-5000"	"-43510"	"-48128"
"78a719a0-972e-4ee6-b6fc-3f4fe4e15e2e"	"2024-01-31T23:12:26+00:00"	"50"	"54768"	"44384"	"38912"	"15000"	"0.902"	"0.802"	"1.635"	"1.632"	"-5000"	"-5000"	"-45162"	"-50469"
"78a719a0-972e-4ee6-b6fc-3f4fe4e15e2e"	"2024-01-31T23:12:26+00:00"	"97.5"	"55376"	"43456"	"37292"	"15000"	"0.875"	"0.764"	"1.63"	"1.627"	"-5000"	"-5000"	"-46807"	"-52805"
"6302541f-c457-4478-a326-f98ada5e252b"	"2024-01-31T23:12:26+00:00"	"2.5"	"54320"	"45984"	"40148"	"15000"	"0.939"	"0.831"	"1.64"	"1.637"	"-5000"	"-5000"	"-43101"	"-48774"
"6302541f-c457-4478-a326-f98ada5e252b"	"2024-01-31T23:12:26+00:00"	"50"	"54896"	"45168"	"38864"	"15000"	"0.914"	"0.799"	"1.635"	"1.632"	"-5000"	"-5000"	"-44587"	"-50726"
"6302541f-c457-4478-a326-f98ada5e252b"	"2024-01-31T23:12:26+00:00"	"97.5"	"55472"	"44352"	"37580"	"15000"	"0.89"	"0.768"	"1.63"	"1.627"	"-5000"	"-5000"	"-46067"	"-52673"
"9c5b46d8-dc8a-4ab8-be35-c1a6b560ee27"	"2024-01-31T23:12:27+00:00"	"2.5"	"53410"	"45058"	"40342"	"15000"	"0.937"	"0.849"	"1.64"	"1.637"	"-5000"	"-5000"	"-42534"	"-47090"
"9c5b46d8-dc8a-4ab8-be35-c1a6b560ee27"	"2024-01-31T23:12:27+00:00"	"50"	"54160"	"44432"	"38664"	"15000"	"0.913"	"0.806"	"1.635"	"1.632"	"-5000"	"-5000"	"-44120"	"-49725"
"9c5b46d8-dc8a-4ab8-be35-c1a6b560ee27"	"2024-01-31T23:12:27+00:00"	"97.5"	"54910"	"43806"	"36986"	"15000"	"0.889"	"0.765"	"1.63"	"1.627"	"-5000"	"-5000"	"-45697"	"-52353"
"5d914422-3207-4af5-9845-d5135e138ac2"	"2024-01-31T23:12:27+00:00"	"2.5"	"54188"	"46060"	"41936"	"15000"	"0.942"	"0.866"	"1.64"	"1.637"	"-5000"	"-5000"	"-42808"	"-46770"
"5d914422-3207-4af5-9845-d5135e138ac2"	"2024-01-31T23:12:27+00:00"	"50"	"55088"	"45248"	"39704"	"15000"	"0.912"	"0.812"	"1.635"	"1.632"	"-5000"	"-5000"	"-44821"	"-50200"
"5d914422-3207-4af5-9845-d5135e138ac2"	"2024-01-31T23:12:27+00:00"	"97.5"	"55988"	"44436"	"37472"	"15000"	"0.883"	"0.759"	"1.63"	"1.627"	"-5000"	"-5000"	"-46824"	"-53620"
"0bad85fb-22ba-4116-9bbe-9953724bc0b6"	"2024-01-31T23:12:27+00:00"	"2.5"	"53176"	"44968"	"40464"	"15000"	"0.94"	"0.855"	"1.64"	"1.637"	"-5000"	"-5000"	"-42241"	"-46585"
"0bad85fb-22ba-4116-9bbe-9953724bc0b6"	"2024-01-31T23:12:27+00:00"	"50"	"53872"	"44272"	"38864"	"15000"	"0.915"	"0.814"	"1.635"	"1.632"	"-5000"	"-5000"	"-43809"	"-49055"
"0bad85fb-22ba-4116-9bbe-9953724bc0b6"	"2024-01-31T23:12:27+00:00"	"97.5"	"54568"	"43576"	"37264"	"15000"	"0.89"	"0.775"	"1.63"	"1.627"	"-5000"	"-5000"	"-45370"	"-51518"
"afb6bf9e-190d-4f7b-af5e-55c1b64bd2c5"	"2024-01-31T23:12:27+00:00"	"2.5"	"53272"	"46900"	"42648"	"15000"	"0.974"	"0.894"	"1.64"	"1.637"	"-5000"	"-5000"	"-40466"	"-44558"
"afb6bf9e-190d-4f7b-af5e-55c1b64bd2c5"	"2024-01-31T23:12:27+00:00"	"50"	"53936"	"46312"	"41040"	"15000"	"0.951"	"0.854"	"1.635"	"1.632"	"-5000"	"-5000"	"-41873"	"-46984"
"afb6bf9e-190d-4f7b-af5e-55c1b64bd2c5"	"2024-01-31T23:12:27+00:00"	"97.5"	"54600"	"45724"	"39432"	"15000"	"0.929"	"0.814"	"1.63"	"1.627"	"-5000"	"-5000"	"-43274"	"-49402"
"cb308990-d9ca-414c-9024-c20da80c4e6c"	"2024-01-31T23:12:28+00:00"	"2.5"	"53268"	"46392"	"41128"	"15000"	"0.965"	"0.866"	"1.64"	"1.637"	"-5000"	"-5000"	"-40968"	"-46072"
"cb308990-d9ca-414c-9024-c20da80c4e6c"	"2024-01-31T23:12:28+00:00"	"50"	"53856"	"45848"	"39744"	"15000"	"0.944"	"0.831"	"1.635"	"1.632"	"-5000"	"-5000"	"-42207"	"-48149"
"cb308990-d9ca-414c-9024-c20da80c4e6c"	"2024-01-31T23:12:28+00:00"	"97.5"	"54444"	"45304"	"38360"	"15000"	"0.924"	"0.796"	"1.63"	"1.627"	"-5000"	"-5000"	"-43440"	"-50220"
